1784369132230: good
1784369132468: morning
1784369132709: am
1784369132950: i
1784369133028: speaking
1784369133269: with
1784369133429: 
1784369133508: s
1784369133589: ant
1784369133748: osh
1784369133910: 
1784369134069: kumar
1784369139828: 
1784369139909: hi
1784369140069: 
1784369140150: s
1784369140227: ant
1784369140308: osh
1784369140389: this
1784369140550: is
1784369140709: 
1784369140789: sia
1784369140948: from
1784369141109: even
1784369141427: healthcare
1784369142150: you
1784369142309: had
1784369142468: signed
1784369142628: up
1784369142868: with
1784369143028: us
1784369143189: a
1784369143350: while
1784369143589: ago
1784369143989: i
1784369144069: believe
1784369144229: you
1784369144388: were
1784369144550: looking
1784369144789: for
1784369144950: health
1784369145109: insurance
1784369145827: it
1784369145909: would
1784369146069: be
1784369146229: great
1784369146388: to
1784369146629: know
1784369147190: what
1784369147350: was
1784369147509: it
1784369147669: that
1784369147829: got
1784369147988: you
1784369148229: interested
1784369148629: in
1784369148789: even
1784369149029: health
1784369149188: care
1784369149429: and
1784369149589: is
1784369149750: there
1784369149910: anything
1784369150149: i
1784369150309: can
1784369150468: help
1784369150629: with
1784369160309: 
1784369160388: hello
1784369166629: sure
1784369166949: sure
1784369167428: i
1784369167510: '
1784369167589: ll
1784369167750: wait
1784369167909: here
1784369168388: 
1784369168469: sam
1784369168629: jay
1784369180709: sorry
1784369181029: couldn
1784369181189: '
1784369181269: t
1784369181350: catch
1784369181509: that
1784369181750: could
1784369181909: you
1784369182069: repeat
1784369185193: got
1784369185428: it
1784369185589: 
1784369185669: s
1784369185749: ant
1784369185908: osh
1784369186309: since
1784369186468: you
1784369186709: were
1784369186788: looking
1784369187109: into
1784369187269: this
1784369187509: earlier
1784369187749: you
1784369187909: didn
1784369188069: '
1784369188150: t
1784369188228: go
1784369188309: ahead
1784369188468: with
1784369188630: any
1784369188868: plan
1784369189270: was
1784369189429: there
1784369189588: anything
1784369189909: that
1784369190149: didn
1784369190309: '
1784369190388: t
1784369190469: work
1784369190629: for
1784369190710: you
1784369191028: was
1784369191188: it
1784369191350: the
1784369191509: price
1784369191748: or
1784369191909: some
1784369192150: coverage
1784369192309: you
1784369192389: want
1784369192550: to
1784369192629: know
1784369192789: about
1784369193029: i
1784369193188: '
1784369193269: m
1784369193429: m
1784369198388: i
1784369198551: '
1784369198629: m
1784369198709: 
1784369198789: sia
1784369198950: from
1784369199268: even
1784369199509: healthcare
1784369199992: here
1784369200229: to
1784369200388: help
1784369200470: you
1784369200628: with
1784369200788: your
1784369201028: health
1784369201189: insurance
1784369201429: needs
1784369201909: may
1784369202069: i
1784369202228: ask
1784369202468: if
1784369202709: you
1784369202869: want
1784369202949: to
1784369203109: explore
1784369203510: a
1784369203589: plan
1784369203916: that
1784369204150: covers
1784369204388: just
1784369204629: hospitalization
1784369205429: emergencies
1784369206149: or
1784369206388: also
1784369206629: day
1784369206788: to
1784369206869: day
1784369207028: doctor
1784369207269: visits
1784369207669: and
1784369207830: check
1784369208068: ups
1784369208228: in
1784369208309: the
1784369208388: future
1784369219750: 
1784369219829: hello
